Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
-1.768e-07,-0.04,-0.004,0,0.008
-1.764e-07,0,0.004,0.008,0.016
-1.760e-07,-0.04,0.012,0.016,0.008
-1.756e-07,0,0.012,0.016,0
-1.752e-07,-0.04,0.004,0.008,0
-1.748e-07,-0.04,0.012,0.008,0
-1.744e-07,-0.04,0.004,0.016,0
-1.740e-07,-0.04,0.004,0.016,0
-1.736e-07,-0.04,0.004,0.024,0.008
-1.732e-07,0,0.004,0.016,0
-1.728e-07,-0.08,0.012,0.008,0
-1.724e-07,-0.04,0.012,0,0
-1.720e-07,0,0.004,0,-0.008
-1.716e-07,-0.04,0.012,0,-0.008
-1.712e-07,0,0.004,0.008,0.008
-1.708e-07,-0.04,0.004,0.008,0.008
-1.704e-07,0,0.012,0.008,0.008
-1.700e-07,-0.04,0.004,0.008,0
-1.696e-07,-0.04,0.004,0,0
-1.692e-07,-0.04,-0.004,0,0.008
-1.688e-07,0,-0.012,0,0
-1.684e-07,-0.04,-0.004,0.008,-0.008
-1.680e-07,-0.04,-0.004,0.008,-0.008
-1.676e-07,-0.04,-0.004,-0.008,0
-1.672e-07,0,0.004,-0.016,0.008
-1.668e-07,0,0.004,0.008,0.008
-1.664e-07,-0.04,-0.004,0.016,0
-1.660e-07,0,-0.004,0.016,0.008
-1.656e-07,-0.04,0.004,0.016,0.016
-1.652e-07,0,0.004,0,0.016
-1.648e-07,0,0.004,0,0.008
-1.644e-07,0,0.012,0.008,0
-1.640e-07,-0.04,0.004,0.016,0
-1.636e-07,-0.08,0.004,0.024,-0.008
-1.632e-07,-0.04,0.004,0.024,-0.008
-1.628e-07,-0.04,-0.004,0.008,-0.008
-1.624e-07,-0.04,-0.012,0.008,0.008
-1.620e-07,-0.04,0.004,0.016,0.016
-1.616e-07,-0.04,0.004,0.008,0.008
-1.612e-07,0,0.004,0.008,0
-1.608e-07,0,-0.004,0,0
-1.604e-07,0,-0.012,0.008,0.008
-1.600e-07,-0.04,-0.012,0,0.008
-1.596e-07,-0.04,-0.012,0,0.008
-1.592e-07,-0.04,-0.012,0.008,0
-1.588e-07,-0.04,0.004,0.008,0
-1.584e-07,0,0.004,0.008,0
-1.580e-07,-0.04,0.004,0.008,0
-1.576e-07,-0.04,-0.012,-0.008,0.024
-1.572e-07,0,0.004,-0.008,0.016
-1.568e-07,0,0.004,0,0.016
-1.564e-07,0,0.004,0.008,0.008
-1.560e-07,-0.04,0.012,0,0.016
-1.556e-07,0,0.012,0.008,0
-1.552e-07,-0.04,0.012,0.016,0.008
-1.548e-07,-0.04,0.004,0.016,0
-1.544e-07,0,0.012,0.016,-0.008
-1.540e-07,-0.04,-0.004,0.008,0
-1.536e-07,-0.04,-0.004,0.008,-0.016
-1.532e-07,-0.04,0.004,0,0
-1.528e-07,-0.04,0.012,0,0.008
-1.524e-07,0,0.004,0.008,0
-1.520e-07,-0.04,0.004,0.008,-0.008
-1.516e-07,0,-0.004,0.016,-0.008
-1.512e-07,0,-0.012,0.024,0
-1.508e-07,0,-0.02,0.016,0
-1.504e-07,-0.08,-0.012,0.008,0
-1.500e-07,-0.04,-0.004,0.008,-0.008
-1.496e-07,-0.04,-0.004,0,-0.008
-1.492e-07,0,-0.012,0,-0.008
-1.488e-07,0,-0.004,0,-0.008
-1.484e-07,0,0.004,0,0
-1.480e-07,0,0.004,0,0.008
-1.476e-07,-0.04,0.004,-0.008,0
-1.472e-07,-0.04,0.004,0,0
-1.468e-07,-0.04,0.004,0.008,0
-1.464e-07,0,0.004,0.024,0
-1.460e-07,0,0.004,0.016,0
-1.456e-07,-0.04,0.004,0.024,0
-1.452e-07,0,0.004,0.016,0.008
-1.448e-07,0,0.012,0.016,0
-1.444e-07,0,0.012,0.016,0
-1.440e-07,0,0.012,0.024,0
-1.436e-07,0,0.012,0.016,0.008
-1.432e-07,0,0.004,0.008,0
-1.428e-07,0,0.012,0.016,0
-1.424e-07,0,0.012,0.016,0.024
-1.420e-07,-0.04,0.004,0.008,0.024
-1.416e-07,0,-0.012,0,0.016
-1.412e-07,0,-0.012,0,0
-1.408e-07,-0.04,-0.012,0.008,-0.008
-1.404e-07,0,-0.004,0.008,0
-1.400e-07,0,0.004,0.016,0.008
-1.396e-07,0,-0.004,0.008,0.008
-1.392e-07,-0.04,-0.004,-0.008,0
-1.388e-07,-0.04,-0.012,-0.008,-0.008
-1.384e-07,0,-0.012,-0.008,-0.008
-1.380e-07,-0.04,-0.004,0,-0.008
-1.376e-07,0,-0.004,0.008,-0.008
-1.372e-07,-0.04,-0.004,0.016,-0.008
-1.368e-07,0,0.004,0.016,0.008
-1.364e-07,-0.04,-0.004,0.016,0.008
-1.360e-07,0,-0.012,0.016,0.024
-1.356e-07,-0.04,-0.012,0.008,0.016
-1.352e-07,-0.04,0.004,0.016,0.016
-1.348e-07,-0.04,0.012,0.016,0.008
-1.344e-07,-0.04,0.02,0.024,0.008
-1.340e-07,0,0.012,0.016,0
-1.336e-07,-0.04,0.004,0.016,0
-1.332e-07,-0.04,0.004,0.016,0
-1.328e-07,-0.04,0.004,0.008,0.008
-1.324e-07,-0.04,0.012,0.008,0.008
-1.320e-07,0,0.004,0.016,0.008
-1.316e-07,0,0.004,0.008,-0.008
-1.312e-07,-0.04,-0.004,-0.008,-0.008
-1.308e-07,0,-0.012,0,0
-1.304e-07,-0.04,-0.012,0,0.016
-1.300e-07,-0.04,-0.012,0.016,0.016
-1.296e-07,-0.04,-0.004,0.016,0.008
-1.292e-07,0,0.004,0.008,-0.008
-1.288e-07,-0.04,0.004,0,-0.024
-1.284e-07,-0.04,-0.012,-0.008,-0.016
-1.280e-07,-0.04,-0.012,-0.008,-0.008
-1.276e-07,-0.04,-0.02,-0.008,0
-1.272e-07,-0.04,-0.02,0,0.016
-1.268e-07,-0.04,-0.012,0.008,0.016
-1.264e-07,0,-0.004,0.008,-0.008
-1.260e-07,0,-0.004,0.008,-0.024
-1.256e-07,-0.04,-0.012,0.008,-0.016
-1.252e-07,0,0.004,0.008,0.008
-1.248e-07,-0.04,0.004,0.016,0.032
-1.244e-07,-0.04,0.012,0.024,0.032
-1.240e-07,-0.04,0.02,0.024,0.032
-1.236e-07,0,0.012,0.016,0.008
-1.232e-07,-0.04,0.004,0,-0.008
-1.228e-07,-0.08,-0.004,0,0
-1.224e-07,-0.04,-0.004,0.008,0.008
-1.220e-07,-0.04,0.004,0.016,0.016
-1.216e-07,0,0.028,0.024,0.024
-1.212e-07,0,0.028,0.024,0.024
-1.208e-07,-0.04,0.02,0.024,0.008
-1.204e-07,-0.04,-0.004,0.008,-0.008
-1.200e-07,-0.04,-0.012,0,0
-1.196e-07,-0.04,-0.02,0,0
-1.192e-07,-0.04,-0.004,0.008,0
-1.188e-07,-0.04,-0.004,0,-0.008
-1.184e-07,0,-0.004,-0.008,-0.008
-1.180e-07,0,-0.004,-0.024,-0.008
-1.176e-07,0,-0.02,-0.024,0
-1.172e-07,0,-0.028,0,0.008
-1.168e-07,-0.04,-0.012,0.008,0
-1.164e-07,-0.04,-0.004,0.008,0
-1.160e-07,-0.04,-0.004,0.016,-0.016
-1.156e-07,0,-0.02,0.024,-0.008
-1.152e-07,0,-0.028,0.008,-0.008
-1.148e-07,0,-0.028,-0.008,0
-1.144e-07,0,-0.012,0,0
-1.140e-07,0,0.012,0.024,0.016
-1.136e-07,-0.04,0.028,0.032,0.024
-1.132e-07,-0.04,0.028,0.024,0
-1.128e-07,0,0.02,0.016,0
-1.124e-07,-0.04,-0.004,0,0
-1.120e-07,-0.04,-0.012,0.008,0.008
-1.116e-07,0,0.004,0.016,0.024
-1.112e-07,-0.04,0.012,0.032,0.04
-1.108e-07,0,0.012,0.016,0.032
-1.104e-07,0,0.004,0.008,0.024
-1.100e-07,0,0.004,0.008,0.024
-1.096e-07,0,-0.012,0,-0.008
-1.092e-07,0,-0.012,-0.008,-0.008
-1.088e-07,0,-0.012,0,-0.016
-1.084e-07,-0.04,-0.004,0.008,-0.016
-1.080e-07,0,-0.004,0.008,-0.016
-1.076e-07,-0.04,-0.012,-0.008,-0.016
-1.072e-07,-0.04,-0.028,-0.016,0
-1.068e-07,-0.04,-0.02,-0.008,0
-1.064e-07,0,-0.02,0.008,0
-1.060e-07,-0.04,-0.012,0.016,0
-1.056e-07,-0.04,-0.004,0.008,-0.008
-1.052e-07,-0.04,0.004,0.008,0
-1.048e-07,0,0.012,0.008,0.008
-1.044e-07,0,0.004,0.008,0.016
-1.040e-07,-0.04,-0.012,0.008,0.016
-1.036e-07,0,-0.012,0.008,0.008
-1.032e-07,-0.04,-0.004,0,0
-1.028e-07,0,0.012,0,0.008
-1.024e-07,0,0.02,0.008,0.016
-1.020e-07,0,0.02,0.008,0.016
-1.016e-07,-0.04,0.028,0.016,0.016
-1.012e-07,0,0.004,0.016,0.016
-1.008e-07,0,-0.004,0.016,0
-1.004e-07,0,-0.012,0.016,0
-1.000e-07,-0.04,-0.004,0.016,0
-9.960e-08,-0.04,0.004,0.008,0.008
-9.920e-08,0,0.004,0,0
-9.880e-08,0,-0.004,-0.008,-0.008
-9.840e-08,-0.04,-0.012,-0.008,-0.016
-9.800e-08,-0.04,-0.02,-0.008,-0.008
-9.760e-08,-0.04,-0.012,-0.016,0.008
-9.720e-08,-0.04,-0.004,-0.008,0.008
-9.680e-08,-0.04,-0.012,0,0
-9.640e-08,-0.04,-0.012,-0.008,-0.016
-9.600e-08,-0.04,-0.012,-0.008,-0.016
-9.560e-08,0,-0.004,0,-0.008
-9.520e-08,0,-0.004,-0.008,0
-9.480e-08,-0.04,-0.012,-0.008,0
-9.440e-08,-0.04,-0.012,0,0
-9.400e-08,-0.04,-0.004,0.016,0
-9.360e-08,-0.04,-0.012,0.016,0
-9.320e-08,0,-0.004,0.008,0
-9.280e-08,-0.04,0.004,0,0
-9.240e-08,0,0.004,0,0.008
-9.200e-08,0,0.012,0.008,0.016
-9.160e-08,0,0.012,0.024,0.016
-9.120e-08,-0.04,0.004,0.016,0
-9.080e-08,-0.04,0.004,0.008,0
-9.040e-08,-0.08,-0.004,0.008,0
-9.000e-08,-0.04,0.004,0.008,0.008
-8.960e-08,-0.04,0.004,0.016,0.016
-8.920e-08,0,0.004,0.008,0.016
-8.880e-08,-0.04,-0.004,0,0.008
-8.840e-08,0,-0.004,-0.008,0
-8.800e-08,0,-0.012,-0.008,0
-8.760e-08,0,-0.02,-0.008,0
-8.720e-08,0,-0.02,0.008,0
-8.680e-08,-0.04,-0.012,0.016,-0.008
-8.640e-08,-0.04,-0.012,0.008,-0.008
-8.600e-08,-0.04,-0.012,0.008,0
-8.560e-08,-0.04,-0.004,0.008,-0.008
-8.520e-08,-0.04,-0.004,0.008,0
-8.480e-08,0,-0.012,0.016,0.016
-8.440e-08,-0.04,0.004,0.008,0.016
-8.400e-08,-0.04,0.004,0.008,0.016
-8.360e-08,-0.04,0.004,0.008,0.008
-8.320e-08,0,0.004,0,0.016
-8.280e-08,-0.04,-0.004,0,0.008
-8.240e-08,0,-0.004,0.008,0.008
-8.200e-08,-0.04,-0.004,0.016,0
-8.160e-08,-0.04,-0.012,0.024,0
-8.120e-08,-0.04,0.004,0.032,0
-8.080e-08,0,0.004,0.016,0.008
-8.040e-08,0,-0.004,0.024,0
-8.000e-08,0,-0.004,0.008,0
-7.960e-08,-0.04,-0.012,0.016,0.008
-7.920e-08,0,-0.004,0.008,0.008
-7.880e-08,0,-0.004,0,0.008
-7.840e-08,-0.04,0.004,0,0
-7.800e-08,0,0.004,-0.008,0
-7.760e-08,-0.04,-0.004,-0.008,0
-7.720e-08,0,-0.004,0.008,0
-7.680e-08,-0.04,0.004,0.008,-0.008
-7.640e-08,-0.04,-0.004,0.016,-0.008
-7.600e-08,-0.04,-0.012,0.016,0
-7.560e-08,0,-0.012,0.008,0
-7.520e-08,0,-0.02,0,0
-7.480e-08,-0.04,-0.012,0,-0.008
-7.440e-08,0,-0.012,0,0
-7.400e-08,-0.04,-0.004,0.008,0.008
-7.360e-08,0,-0.004,0.008,0
-7.320e-08,-0.04,0.004,0.008,-0.008
-7.280e-08,-0.04,0.012,0.008,-0.008
-7.240e-08,0.04,0.012,0.008,0
-7.200e-08,0,0.012,0.016,0.008
-7.160e-08,-0.04,0.004,0.016,0.008
-7.120e-08,0,0.004,0.016,0
-7.080e-08,0,0.004,0.016,0.008
-7.040e-08,0,0.004,0,0
-7.000e-08,-0.04,-0.004,0.008,0
-6.960e-08,-0.04,-0.012,0.016,0
-6.920e-08,0,-0.004,0.008,0.008
-6.880e-08,0,-0.012,0,0
-6.840e-08,-0.04,-0.004,0,0
-6.800e-08,-0.04,-0.004,0.008,0
-6.760e-08,-0.04,0.012,-0.008,0
-6.720e-08,-0.04,0.004,-0.016,0
-6.680e-08,0,0.004,-0.016,0
-6.640e-08,0,-0.004,-0.008,-0.008
-6.600e-08,0,-0.004,0,-0.008
-6.560e-08,-0.04,-0.004,0,0
-6.520e-08,-0.04,-0.004,0.008,0
-6.480e-08,0,-0.012,0.008,0
-6.440e-08,-0.04,-0.012,0.016,0
-6.400e-08,-0.04,-0.012,0.008,0.008
-6.360e-08,-0.04,-0.012,0,0.008
-6.320e-08,0,-0.004,0,0.008
-6.280e-08,0,-0.004,0,0.024
-6.240e-08,0,0.012,0.008,0.016
-6.200e-08,-0.04,0.012,0.024,0.016
-6.160e-08,-0.04,0.012,0.016,0.008
-6.120e-08,-0.04,0.004,0.016,0.008
-6.080e-08,0,-0.004,0.024,0.008
-6.040e-08,0,-0.004,0.024,0.008
-6.000e-08,0,0.004,0.024,0
-5.960e-08,0,0.004,0.008,0
-5.920e-08,-0.04,-0.004,0.008,0.008
-5.880e-08,-0.04,-0.004,0.008,0.008
-5.840e-08,-0.04,-0.004,0.008,0
-5.800e-08,-0.04,0.004,0,0
-5.760e-08,-0.04,0.004,0.016,0.008
-5.720e-08,0,0.012,0.016,0.016
-5.680e-08,-0.04,0.012,0,0.008
-5.640e-08,-0.04,0.012,0,0
-5.600e-08,-0.04,0.012,-0.008,0
-5.560e-08,-0.04,0.012,0,-0.008
-5.520e-08,-0.04,0.012,0.008,-0.016
-5.480e-08,-0.04,0.004,0.008,-0.016
-5.440e-08,-0.04,0.012,0.008,0
-5.400e-08,0,0.012,0.016,0.016
-5.360e-08,-0.04,0.004,0.024,0.016
-5.320e-08,-0.04,-0.004,0.016,0.008
-5.280e-08,-0.04,-0.004,0,0.008
-5.240e-08,0,0.012,0.008,0.008
-5.200e-08,-0.04,0.012,0.008,0.008
-5.160e-08,-0.04,0.004,0,0.008
-5.120e-08,-0.04,-0.012,0.008,0
-5.080e-08,-0.04,-0.012,0.016,-0.008
-5.040e-08,-0.04,-0.012,0.016,0
-5.000e-08,0,-0.004,0.008,0
-4.960e-08,0,0.004,0,-0.008
-4.920e-08,-0.04,0.004,-0.008,0
-4.880e-08,0,-0.004,-0.008,0.008
-4.840e-08,-0.04,-0.004,-0.008,0.008
-4.800e-08,-0.04,-0.012,-0.008,0.008
-4.760e-08,-0.04,-0.02,0,0.008
-4.720e-08,-0.04,-0.012,-0.008,0
-4.680e-08,0,-0.012,-0.008,-0.008
-4.640e-08,0,-0.004,0,-0.008
-4.600e-08,0,-0.02,0.008,-0.008
-4.560e-08,0,-0.012,0.008,-0.008
-4.520e-08,-0.04,-0.012,0,-0.008
-4.480e-08,0,-0.012,0,-0.008
-4.440e-08,-0.04,-0.004,-0.008,-0.016
-4.400e-08,-0.08,-0.004,0,-0.016
-4.360e-08,-0.04,0.004,0.008,-0.016
-4.320e-08,0,-0.012,0.016,-0.112
-4.280e-08,0,-0.052,-0.016,-0.464
-4.240e-08,-0.04,-0.02,0.016, -inf
-4.200e-08,0,0.06,0.112, -inf
-4.160e-08,-0.04,0.132,0.232, -inf
-4.120e-08,-0.04,0.076,0.208, -inf
-4.080e-08,-0.04,-0.052,0.032,-0.48
-4.040e-08,-0.04,-0.108,-0.08,-0.408
-4.000e-08,0,-0.028,0, -inf
-3.960e-08,-0.04,0.092,0.208, -inf
-3.920e-08,0,0.1,0.28, -inf
-3.880e-08,-0.04,-0.028,0.144, -inf
-3.840e-08,-0.04,-0.116,-0.048, -inf
-3.800e-08,-0.04,-0.052,-0.048, -inf
-3.760e-08,-0.04,0.068,0.144, -inf
-3.720e-08,0,0.108,0.312, -inf
-3.680e-08,-0.04,0.004,0.224, -inf
-3.640e-08,-0.04,-0.092,0.032, -inf
-3.600e-08,0,-0.076,-0.016, -inf
-3.560e-08,-0.04,0.028,0.16, -inf
-3.520e-08,-0.04,0.068,0.344, -inf
-3.480e-08,-0.04,0.02,0.344, -inf
-3.440e-08,-0.04,-0.06,0.184, -inf
-3.400e-08,0,-0.06,0.08, -inf
-3.360e-08,0,-0.02,0.12, -inf
-3.320e-08,-0.04,0.044,0.272, -inf
-3.280e-08,0,0.06,0.456, -inf
-3.240e-08,0,0.068,0.592, -inf
-3.200e-08,-0.04,0.076,0.656, -inf
-3.160e-08,0,0.068,0.648, -inf
-3.120e-08,0,0.06,0.648, -inf
-3.080e-08,0,0.06,0.664, -inf
-3.040e-08,-0.04,0.028,0.664, -inf
-3.000e-08,0,-0.012,0.648, -inf
-2.960e-08,-0.04,-0.028,0.632, -inf
-2.920e-08,0,0.012,0.632, -inf
-2.880e-08,-0.04,0.044,0.592, -inf
-2.840e-08,-0.04,0.036,0.464, -inf
-2.800e-08,-0.04,-0.012,0.32, -inf
-2.760e-08,0,-0.044,0.216, -inf
-2.720e-08,-0.04,-0.036,0.2, -inf
-2.680e-08,-0.04,-0.02,0.192, -inf
-2.640e-08,-0.04,-0.004,0.152, -inf
-2.600e-08,0,0.012,0.12, -inf
-2.560e-08,0,0.036,0.104, -inf
-2.520e-08,-0.04,0.02,0.072, -inf
-2.480e-08,-0.04,-0.044,-0.008, -inf
-2.440e-08,0,-0.092,-0.096, -inf
-2.400e-08,-0.04,-0.068,-0.112, -inf
-2.360e-08,0,0.02,-0.048, -inf
-2.320e-08,0,0.036,-0.016, -inf
-2.280e-08,-0.04,0.004,-0.08, -inf
-2.240e-08,-0.04,-0.044,-0.16, -inf
-2.200e-08,0,-0.02,-0.16, -inf
-2.160e-08,-0.04,0.02,-0.08, -inf
-2.120e-08,0,0.004,-0.032, -inf
-2.080e-08,0,-0.028,-0.056, -inf
-2.040e-08,0,-0.02,-0.088, -inf
-2.000e-08,-0.04,0.012,-0.08, -inf
-1.960e-08,-0.04,0.028,-0.064, -inf
-1.920e-08,-0.04,-0.012,-0.088, -inf
-1.880e-08,-0.04,-0.028,-0.112, -inf
-1.840e-08,-0.04,0.004,-0.088, -inf
-1.800e-08,0,0.044,-0.032,-0.496
-1.760e-08,-0.04,0.028,-0.048,-0.448
-1.720e-08,0,-0.044,-0.104,-0.384
-1.680e-08,-0.04,-0.044,-0.128,-0.28
-1.640e-08,0,0.004,-0.072,-0.192
-1.600e-08,-0.04,0.028,-0.008,-0.176
-1.560e-08,0,-0.012,-0.024,-0.16
-1.520e-08,-0.04,-0.052,-0.096,-0.128
-1.480e-08,0,-0.036,-0.088,-0.064
-1.440e-08,0,0.004,-0.048,-0.016
-1.400e-08,-0.04,0.02,-0.008,-0.008
-1.360e-08,-0.04,-0.012,-0.024,0.008
-1.320e-08,-0.04,-0.028,-0.056,0.048
-1.280e-08,-0.04,-0.004,-0.048,0.088
-1.240e-08,-0.04,0.012,-0.032,0.112
-1.200e-08,0,-0.012,-0.024,0.104
-1.160e-08,0,-0.028,-0.04,0.128
-1.120e-08,-0.04,-0.012,-0.04,0.16
-1.080e-08,0,0.02,-0.016,0.176
-1.040e-08,0,0.02,-0.024,0.168
-1.000e-08,-0.04,-0.004,-0.056,0.16
-9.600e-09,-0.04,-0.02,-0.064,0.16
-9.200e-09,-0.04,0.012,-0.04,0.184
-8.800e-09,-0.04,0.028,0,0.176
-8.400e-09,0,0.012,-0.008,0.176
-8.000e-09,0,-0.02,-0.048,0.176
-7.600e-09,-0.04,-0.012,-0.056,0.208
-7.200e-09,-0.04,0.012,-0.032,0.224
-6.800e-09,-0.04,0.028,0.008,0.216
-6.400e-09,0,0.012,-0.008,0.184
-6.000e-09,0,-0.012,-0.048,0.192
-5.600e-09,0,-0.012,-0.064,0.208
-5.200e-09,0,0.012,-0.032,0.216
-4.800e-09,-0.04,0.004,-0.016,0.2
-4.400e-09,0,-0.004,-0.024,0.2
-4.000e-09,-0.04,-0.004,-0.04,0.216
-3.600e-09,0,-0.004,-0.032,0.224
-3.200e-09,0,0.004,-0.024,0.216
-2.800e-09,-0.04,-0.004,-0.032,0.208
-2.400e-09,-0.04,-0.012,-0.04,0.208
-2.000e-09,-0.04,0.004,-0.04,0.224
-1.600e-09,0,0.02,-0.008,0.232
-1.200e-09,-0.04,0.012,0,0.216
-8.000e-10,-0.08,-0.004,-0.016,0.208
-4.000e-10,-0.2,-0.02,-0.024,0.224
0.000e+00,-0.4,-0.004,-0.016,0.232
4.000e-10,-0.64,0.012,0,0.232
8.000e-10,-0.68,0.012,-0.008,0.208
1.200e-09,-0.64,0.004,-0.024,0.208
1.600e-09,-0.6,0.004,-0.024,0.224
2.000e-09,-0.64,0.012,-0.008,0.232
2.400e-09,-0.64,0.012,-0.008,0.224
2.800e-09,-0.64,-0.004,-0.008,0.2
3.200e-09,-0.64,-0.02,-0.016,0.2
3.600e-09,-0.64,-0.012,-0.008,0.208
4.000e-09,-0.64,-0.004,0,0.2
4.400e-09,-0.68,0.004,-0.008,0.184
4.800e-09,-0.68,-0.012,-0.024,0.184
5.200e-09,-0.64,-0.012,-0.04,0.192
5.600e-09,-0.64,-0.004,-0.024,0.208
6.000e-09,-0.64,-0.004,-0.008,0.184
6.400e-09,-0.68,-0.004,-0.016,0.16
6.800e-09,-0.68,-0.004,-0.016,0.16
7.200e-09,-0.68,-0.004,-0.008,0.168
7.600e-09,-0.64,-0.012,-0.008,0.168
8.000e-09,-0.68,-0.012,-0.008,0.152
8.400e-09,-0.64,-0.02,-0.008,0.16
8.800e-09,-0.64,-0.012,-0.008,0.16
9.200e-09,-0.68,0.004,0.008,0.168
9.600e-09,-0.68,0.004,0.008,0.16
1.000e-08,-0.68,-0.004,0.016,0.144
1.040e-08,-0.68,-0.004,-0.016,0.144
1.080e-08,-0.68,0.004,-0.016,0.144
1.120e-08,-0.64,0.004,-0.008,0.16
1.160e-08,-0.64,-0.004,0.008,0.144
1.200e-08,-0.64,0.004,0,0.144
1.240e-08,-0.68,0.004,0,0.152
1.280e-08,-0.68,0.012,-0.008,0.144
1.320e-08,-0.68,0.004,0,0.136
1.360e-08,-0.64,-0.012,0,0.112
1.400e-08,-0.68,-0.012,-0.016,0.112
1.440e-08,-0.68,0.004,-0.008,0.112
1.480e-08,-0.68,0.02,0,0.12
1.520e-08,-0.68,0.02,-0.008,0.12
1.560e-08,-0.64,0.004,-0.016,0.128
1.600e-08,-0.68,-0.02,-0.008,0.128
1.640e-08,-0.68,-0.012,0.008,0.12
1.680e-08,-0.68,-0.012,0.016,0.112
1.720e-08,-0.72,-0.004,0.024,0.096
1.760e-08,-0.68,-0.004,0,0.104
1.800e-08,-0.68,-0.012,-0.024,0.096
1.840e-08,-0.68,-0.004,-0.016,0.096
1.880e-08,-0.64,0.004,0,0.096
1.920e-08,-0.68,0.004,0.008,0.104
1.960e-08,-0.68,0.004,0.008,0.112
2.000e-08,-0.68,0.012,0,0.112
2.040e-08,-0.68,0.004,-0.008,0.104
2.080e-08,-0.64,0.004,-0.016,0.088
2.120e-08,-0.64,-0.012,-0.016,0.096
2.160e-08,-0.68,-0.02,0,0.104
2.200e-08,-0.64,-0.004,0.008,0.12
2.240e-08,-0.68,-0.004,0.008,0.104
2.280e-08,-0.64,-0.004,-0.008,0.096
2.320e-08,-0.68,0.004,-0.008,0.088
2.360e-08,-0.64,0.004,-0.008,0.096
2.400e-08,-0.68,0.012,0.008,0.096
2.440e-08,-0.68,0.004,0,0.088
2.480e-08,-0.64,-0.012,0,0.088
2.520e-08,-0.68,-0.012,0,0.088
2.560e-08,-0.68,-0.012,0,0.096
2.600e-08,-0.68,-0.012,-0.008,0.096
2.640e-08,-0.64,-0.004,-0.008,0.096
2.680e-08,-0.68,-0.004,-0.008,0.096
2.720e-08,-0.68,0.004,-0.008,0.096
2.760e-08,-0.68,-0.004,-0.016,0.096
2.800e-08,-0.68,-0.004,-0.008,0.096
2.840e-08,-0.68,-0.004,0,0.088
2.880e-08,-0.64,-0.004,0,0.096
2.920e-08,-0.68,-0.004,0.008,0.104
2.960e-08,-0.64,-0.012,0.016,0.104
